# x_m,y_m,w_tr_right_m,w_tr_left_m
298.931289,-435.259323,6.438,5.555
295.578621,-431.625732,6.409,5.679
292.028284,-428.162859,6.379,5.804
288.319324,-424.838488,6.37,5.887
284.490788,-421.620402,6.384,5.922
280.581723,-418.476387,6.397,5.958
276.631176,-415.374225,6.411,5.994
272.676607,-412.282963,6.424,6.03
268.733108,-409.189477,6.438,6.066
264.799208,-406.093837,6.451,6.101
260.873047,-402.996423,6.465,6.137
256.952765,-399.897616,6.478,6.173
253.036503,-396.797797,6.492,6.209
249.122402,-393.697347,6.505,6.245
245.208601,-390.596646,6.519,6.28
241.293245,-387.496074,6.532,6.316
237.375145,-384.395867,6.546,6.352
233.454522,-381.295957,6.559,6.388
229.531777,-378.196236,6.573,6.423
225.607312,-375.096596,6.586,6.459
221.681526,-371.996931,6.6,6.495
217.754821,-368.897133,6.613,6.531
213.827599,-365.797093,6.627,6.567
209.900259,-362.696706,6.64,6.602
205.973204,-359.595862,6.654,6.638
202.046833,-356.494456,6.667,6.674
198.121549,-353.392379,6.681,6.71
194.197752,-350.289524,6.695,6.746
190.275842,-347.185783,6.708,6.781
186.356222,-344.08105,6.722,6.817
182.439292,-340.975216,6.735,6.853
178.525453,-337.868175,6.749,6.889
174.615105,-334.759818,6.762,6.925
170.707,-331.651163,6.776,6.96
166.79379,-328.547383,6.789,6.996
162.866728,-325.454603,6.803,7.032
158.917062,-322.378954,6.816,7.068
154.939778,-319.323019,6.83,7.103
150.97981,-316.241995,6.843,7.139
147.117714,-313.057284,6.857,7.175
143.434812,-309.68956,6.82,7.326
140.089143,-306.037662,6.714,7.641
138.205899,-301.729252,6.808,7.602
137.999948,-296.784442,7.177,7.08
138.330952,-291.74392,7.082,7.324
139.132162,-286.801232,6.914,7.688
140.430442,-282.028796,7.204,7.239
142.153078,-277.352239,7.197,7.153
144.630287,-273.100929,6.517,7.997
148.473167,-270.127773,6.399,7.873
152.912996,-268.306993,6.481,7.406
157.703561,-267.399207,6.548,7.042
162.706549,-267.181105,6.548,7.148
167.78365,-267.429379,6.548,7.253
172.813714,-267.938979,6.706,7.04
177.779445,-268.615338,6.879,6.796
182.702407,-269.405231,6.992,6.626
187.604234,-270.255505,6.975,6.614
192.506167,-271.113949,6.959,6.601
197.418802,-271.953948,6.942,6.589
202.341088,-272.776889,6.925,6.577
207.271381,-273.585586,6.909,6.564
212.208039,-274.382848,6.892,6.552
217.149417,-275.171489,6.875,6.54
222.093874,-275.954319,6.858,6.528
227.039765,-276.734151,6.842,6.515
231.985448,-277.513796,6.825,6.503
236.929643,-278.295457,6.808,6.491
241.872253,-279.079354,6.792,6.478
246.813419,-279.86531,6.775,6.466
251.753284,-280.653144,6.758,6.454
256.69199,-281.442675,6.741,6.442
261.629679,-282.233726,6.725,6.429
266.566494,-283.026115,6.708,6.417
